Age,EdLevel,YearsCodePro,DevType,CompanySize,Salary_USD
18-35 years old,Master,Less than 1 year,DS/MLE,Large(>1000),109000.0
>35 years old,Master,15,DE/DA/BA,Medium(100-999),138000.0
18-35 years old,Master,3,DE/DA/BA,Small(1-99),12936.0
18-35 years old,Master,5,DS/MLE,Small(1-99),53100.0
>35 years old,Doctoral(PhD),11,DS/MLE,Large(>1000),158000.0
>35 years old,Doctoral(PhD),11,DS/MLE,Small(1-99),82800.0
18-35 years old,Bachelor,3,DE/DA/BA,Medium(100-999),85000.0
>35 years old,Bachelor,11,DE/DA/BA,Large(>1000),74930.0
>35 years old,Bachelor,16,DE/DA/BA,Large(>1000),98000.0
>35 years old,Doctoral(PhD),3,DE/DA/BA,Large(>1000),10030.0
18-35 years old,Master,8,DS/MLE,Medium(100-999),240000.0
18-35 years old,Doctoral(PhD),1,DE/DA/BA,Small(1-99),100000.0
18-35 years old,Master,5,DS/MLE,Large(>1000),140000.0
18-35 years old,Bachelor,12,DE/DA/BA,Small(1-99),100000.0
>35 years old,Master,15,DE/DA/BA,Medium(100-999),75000.0
18-35 years old,Bachelor,3,DE/DA/BA,Large(>1000),30359.999999999996
18-35 years old,Master,3,DS/MLE,Large(>1000),300000.0
>35 years old,Doctoral(PhD),8,DS/MLE,Large(>1000),107990.0
18-35 years old,Master,3,DE/DA/BA,Medium(100-999),73160.0
18-35 years old,Master,3,DS/MLE,Medium(100-999),108675.0
18-35 years old,Master,10,DS/MLE,Small(1-99),900.0
18-35 years old,Master,7,DS/MLE,Medium(100-999),70741.0
>35 years old,Bachelor,17,DE/DA/BA,Medium(100-999),100000.0
>35 years old,Master,23,DE/DA/BA,Medium(100-999),228000.0
>35 years old,Master,10,DE/DA/BA,Medium(100-999),3000.0
>35 years old,Doctoral(PhD),3,DS/MLE,Small(1-99),175000.0
>35 years old,Doctoral(PhD),6,DS/MLE,Large(>1000),106200.0
18-35 years old,Bachelor,5,DE/DA/BA,Small(1-99),86000.0
>35 years old,Doctoral(PhD),43,DE/DA/BA,Large(>1000),150100.0
18-35 years old,Master,12,DS/MLE,Large(>1000),7670.0
18-35 years old,Bachelor,1,DS/MLE,Small(1-99),55000.0
18-35 years old,Master,7,DS/MLE,Small(1-99),51330.0
>35 years old,Bachelor,16,DE/DA/BA,Small(1-99),94400.0
>35 years old,Bachelor,15,DE/DA/BA,Large(>1000),158000.0
18-35 years old,Master,2,DS/MLE,Large(>1000),3383.06
>35 years old,Master,20,DE/DA/BA,Large(>1000),49560.0
18-35 years old,Bachelor,5,DE/DA/BA,Large(>1000),130000.0
18-35 years old,Doctoral(PhD),3,DS/MLE,Small(1-99),62099.99999999999
18-35 years old,Bachelor,12,DE/DA/BA,Large(>1000),80240.0
18-35 years old,Master,3,DE/DA/BA,Large(>1000),23600.0
18-35 years old,Bachelor,8,DE/DA/BA,Small(1-99),130000.0
18-35 years old,Master,3,DE/DA/BA,Small(1-99),2950.0
18-35 years old,Master,5,DS/MLE,Large(>1000),145000.0
18-35 years old,Master,5,DE/DA/BA,Small(1-99),49560.0
>35 years old,Master,23,DS/MLE,Medium(100-999),165000.0
18-35 years old,Bachelor,3,DS/MLE,Large(>1000),200000.0
18-35 years old,Doctoral(PhD),6,DS/MLE,Small(1-99),2360.0
>35 years old,Master,4,DS/MLE,Large(>1000),2760.0
18-35 years old,Bachelor,5,DE/DA/BA,Large(>1000),42000.0
>35 years old,Doctoral(PhD),35,DE/DA/BA,Large(>1000),9440.0
>35 years old,Master,25,DE/DA/BA,Small(1-99),7080.0
18-35 years old,Bachelor,4,DE/DA/BA,Medium(100-999),74000.0
18-35 years old,Master,5,DS/MLE,Large(>1000),100300.0
18-35 years old,Bachelor,2,DS/MLE,Medium(100-999),29400.0
>35 years old,Master,11,DE/DA/BA,Small(1-99),94400.0
18-35 years old,Bachelor,4,DS/MLE,Small(1-99),1680.0
18-35 years old,Bachelor,7,DE/DA/BA,Large(>1000),910.0
18-35 years old,Bachelor,10,DE/DA/BA,Small(1-99),131100.0
>35 years old,Master,2,DS/MLE,Small(1-99),64900.0
>35 years old,Bachelor,28,DE/DA/BA,Large(>1000),122819.99999999999
>35 years old,Doctoral(PhD),11,DS/MLE,Large(>1000),72000.0
18-35 years old,Master,4,DS/MLE,Large(>1000),30800.0
18-35 years old,Bachelor,3,DE/DA/BA,Large(>1000),95000.0
>35 years old,Bachelor,20,DE/DA/BA,Medium(100-999),175000.0
18-35 years old,Bachelor,6,DS/MLE,Medium(100-999),7500.0
18-35 years old,Bachelor,5,DE/DA/BA,Large(>1000),73000.0
18-35 years old,Master,7,DE/DA/BA,Small(1-99),110000.0
>35 years old,Master,24,DE/DA/BA,Small(1-99),165000.0
18-35 years old,Master,Less than 1 year,DE/DA/BA,Medium(100-999),50000.0
>35 years old,Bachelor,40,DE/DA/BA,Large(>1000),137000.0
>35 years old,Doctoral(PhD),6,DS/MLE,Medium(100-999),100000.0
18-35 years old,Bachelor,3,DE/DA/BA,Large(>1000),100000.0
18-35 years old,Master,2,DE/DA/BA,Large(>1000),48980.0
>35 years old,Bachelor,3,DE/DA/BA,Medium(100-999),60000.0
18-35 years old,Bachelor,4,DE/DA/BA,Medium(100-999),14000.0
>35 years old,Bachelor,26,DE/DA/BA,Large(>1000),120000.0
18-35 years old,Bachelor,4,DE/DA/BA,Medium(100-999),75000.0
>35 years old,Doctoral(PhD),12,DS/MLE,Small(1-99),75900.0
18-35 years old,Doctoral(PhD),4,DS/MLE,Small(1-99),3068.0
18-35 years old,Bachelor,3,DS/MLE,Medium(100-999),14000.0
18-35 years old,Master,10,DE/DA/BA,Large(>1000),76700.0
>35 years old,Master,25,DE/DA/BA,Medium(100-999),215000.0
>35 years old,Master,10,DE/DA/BA,Small(1-99),150000.0
18-35 years old,Bachelor,4,DS/MLE,Medium(100-999),55460.0
18-35 years old,Bachelor,1,DS/MLE,Small(1-99),7700.0
18-35 years old,Doctoral(PhD),3,DS/MLE,Medium(100-999),114550.0
18-35 years old,Master,3,DS/MLE,Small(1-99),92000.0
>35 years old,Bachelor,12,DS/MLE,Medium(100-999),101480.0
>35 years old,Master,9,DE/DA/BA,Medium(100-999),82600.0
>35 years old,Master,10,DE/DA/BA,Small(1-99),88500.0
18-35 years old,Master,2,DS/MLE,Large(>1000),110399.99999999999
18-35 years old,Bachelor,5,DS/MLE,Large(>1000),105000.0
18-35 years old,Bachelor,Less than 1 year,DE/DA/BA,Large(>1000),19180.0
18-35 years old,Master,4,DS/MLE,Large(>1000),83200.0
18-35 years old,Master,5,DS/MLE,Small(1-99),67150.0
18-35 years old,Bachelor,6,DE/DA/BA,Large(>1000),52000.0
18-35 years old,Master,6,DE/DA/BA,Medium(100-999),168000.0
18-35 years old,Master,6,DS/MLE,Large(>1000),125000.0
18-35 years old,Master,4,DE/DA/BA,Large(>1000),24662.0
18-35 years old,Master,10,DS/MLE,Large(>1000),120000.0
>35 years old,Bachelor,28,DE/DA/BA,Large(>1000),150000.0
18-35 years old,Master,2,DE/DA/BA,Large(>1000),60000.0
>35 years old,Master,14,DE/DA/BA,Large(>1000),210040.0
18-35 years old,Master,5,DS/MLE,Large(>1000),101000.0
18-35 years old,Master,3,DS/MLE,Small(1-99),4484.0
18-35 years old,Bachelor,11,DS/MLE,Large(>1000),155000.0
18-35 years old,Bachelor,2,DE/DA/BA,Medium(100-999),1180.0
>35 years old,Doctoral(PhD),7,DS/MLE,Large(>1000),118000.0
>35 years old,Master,22,DS/MLE,Small(1-99),95000.0
>35 years old,Master,19,DE/DA/BA,Medium(100-999),145000.0
>35 years old,Doctoral(PhD),6,DS/MLE,Small(1-99),250000.0
>35 years old,Doctoral(PhD),15,DS/MLE,Medium(100-999),3776.0
18-35 years old,Bachelor,1,DS/MLE,Large(>1000),41080.0
18-35 years old,Master,8,DS/MLE,Large(>1000),122000.0
>35 years old,Bachelor,23,DE/DA/BA,Medium(100-999),125000.0
18-35 years old,Master,Less than 1 year,DS/MLE,Large(>1000),55300.0
18-35 years old,Bachelor,5,DE/DA/BA,Medium(100-999),105000.0
18-35 years old,Master,Less than 1 year,DS/MLE,Large(>1000),22400.0
18-35 years old,Master,5,DE/DA/BA,Medium(100-999),56640.0
>35 years old,Bachelor,17,DE/DA/BA,Small(1-99),165000.0
18-35 years old,Bachelor,1,DS/MLE,Medium(100-999),2619.6
18-35 years old,Bachelor,7,DE/DA/BA,Medium(100-999),63000.0
>35 years old,Bachelor,6,DE/DA/BA,Small(1-99),160000.0
18-35 years old,Bachelor,4,DS/MLE,Large(>1000),70800.0
18-35 years old,Master,3,DS/MLE,Small(1-99),95000.0
>35 years old,Bachelor,15,DE/DA/BA,Medium(100-999),113000.0
18-35 years old,Bachelor,1,DE/DA/BA,Medium(100-999),48000.0
18-35 years old,Master,1,DS/MLE,Large(>1000),119000.0
18-35 years old,Doctoral(PhD),12,DS/MLE,Large(>1000),11666.662
18-35 years old,Doctoral(PhD),5,DS/MLE,Large(>1000),73000.0
18-35 years old,Master,6,DS/MLE,Medium(100-999),66240.0
18-35 years old,Bachelor,12,DE/DA/BA,Large(>1000),106200.0
18-35 years old,Bachelor,5,DE/DA/BA,Small(1-99),90000.0
18-35 years old,Bachelor,10,DS/MLE,Medium(100-999),140000.0
18-35 years old,Master,2,DE/DA/BA,Medium(100-999),160000.0
>35 years old,Bachelor,9,DE/DA/BA,Small(1-99),53100.0
>35 years old,Doctoral(PhD),9,DS/MLE,Medium(100-999),230000.0
18-35 years old,Master,1,DE/DA/BA,Large(>1000),87500.0
18-35 years old,Doctoral(PhD),3,DS/MLE,Small(1-99),75050.0
>35 years old,Master,22,DE/DA/BA,Small(1-99),47200.0
18-35 years old,Bachelor,7,DE/DA/BA,Medium(100-999),59000.0
18-35 years old,Bachelor,9,DE/DA/BA,Medium(100-999),160000.0
18-35 years old,Bachelor,2,DE/DA/BA,Large(>1000),8932.0
>35 years old,Bachelor,8,DE/DA/BA,Small(1-99),1097.3999999999999
18-35 years old,Master,3,DS/MLE,Small(1-99),64900.0
18-35 years old,Bachelor,2,DS/MLE,Small(1-99),62400.0
>35 years old,Master,6,DE/DA/BA,Small(1-99),55000.0
>35 years old,Master,18,DS/MLE,Medium(100-999),76700.0
18-35 years old,Master,6,DE/DA/BA,Medium(100-999),195000.0
>35 years old,Master,7,DS/MLE,Large(>1000),42480.0
18-35 years old,Master,2,DE/DA/BA,Small(1-99),38940.0
18-35 years old,Bachelor,9,DE/DA/BA,Medium(100-999),98000.0
18-35 years old,Master,8,DS/MLE,Small(1-99),124199.99999999999
18-35 years old,Bachelor,3,DS/MLE,Small(1-99),205000.0
>35 years old,Master,21,DE/DA/BA,Large(>1000),82600.0
18-35 years old,Bachelor,2,DS/MLE,Small(1-99),150000.0
18-35 years old,Master,5,DS/MLE,Large(>1000),98000.0
18-35 years old,Master,5,DS/MLE,Large(>1000),64900.0
18-35 years old,Master,6,DS/MLE,Small(1-99),5310.0
18-35 years old,Master,8,DS/MLE,Large(>1000),70800.0
>35 years old,Master,9,DS/MLE,Small(1-99),1534.0
18-35 years old,Master,2,DS/MLE,Small(1-99),90000.0
>35 years old,Master,14,DE/DA/BA,Medium(100-999),158000.0
18-35 years old,Bachelor,2,DE/DA/BA,Small(1-99),63200.0
18-35 years old,Bachelor,4,DE/DA/BA,Large(>1000),82600.0
>35 years old,Master,22,DE/DA/BA,Medium(100-999),120000.0
18-35 years old,Bachelor,3,DE/DA/BA,Small(1-99),1100.0
18-35 years old,Master,4,DE/DA/BA,Small(1-99),29500.0
>35 years old,Master,1,DS/MLE,Large(>1000),105000.0
>35 years old,Bachelor,15,DS/MLE,Large(>1000),200099.99999999997
>35 years old,Master,15,DE/DA/BA,Small(1-99),124000.0
>35 years old,Master,8,DS/MLE,Medium(100-999),180000.0
>35 years old,Bachelor,12,DS/MLE,Medium(100-999),135000.0
>35 years old,Doctoral(PhD),10,DE/DA/BA,Medium(100-999),82600.0
18-35 years old,Bachelor,2,DS/MLE,Small(1-99),462.0
18-35 years old,Master,6,DS/MLE,Medium(100-999),67260.0
18-35 years old,Master,4,DE/DA/BA,Medium(100-999),80000.0
18-35 years old,Master,5,DS/MLE,Large(>1000),100000.0
18-35 years old,Bachelor,4,DE/DA/BA,Large(>1000),67260.0
18-35 years old,Bachelor,4,DE/DA/BA,Small(1-99),85000.0
>35 years old,Doctoral(PhD),45,DS/MLE,Medium(100-999),160000.0
18-35 years old,Bachelor,2,DS/MLE,Medium(100-999),165600.0
>35 years old,Bachelor,34,DS/MLE,Medium(100-999),120000.0
18-35 years old,Master,3,DE/DA/BA,Medium(100-999),75520.0
>35 years old,Master,36,DS/MLE,Large(>1000),160000.0
18-35 years old,Bachelor,2,DS/MLE,Medium(100-999),80000.0
>35 years old,Bachelor,12,DS/MLE,Large(>1000),100000.0
>35 years old,Bachelor,10,DE/DA/BA,Medium(100-999),6372.0
18-35 years old,Bachelor,7,DS/MLE,Small(1-99),48989.99999999999
18-35 years old,Master,Less than 1 year,DS/MLE,Large(>1000),2360.0
18-35 years old,Bachelor,3,DE/DA/BA,Medium(100-999),62000.0
18-35 years old,Bachelor,4,DS/MLE,Large(>1000),9100.0
18-35 years old,Master,5,DE/DA/BA,Large(>1000),44160.0
18-35 years old,Master,10,DS/MLE,Medium(100-999),9600.0
18-35 years old,Bachelor,2,DE/DA/BA,Small(1-99),300.0
>35 years old,Bachelor,19,DE/DA/BA,Small(1-99),113849.99999999999
18-35 years old,Bachelor,3,DS/MLE,Small(1-99),85000.0
18-35 years old,Bachelor,3,DE/DA/BA,Large(>1000),203660.0
18-35 years old,Master,3,DS/MLE,Large(>1000),250000.0
18-35 years old,Bachelor,10,DE/DA/BA,Large(>1000),67150.0
18-35 years old,Bachelor,2,DS/MLE,Small(1-99),36400.0
18-35 years old,Bachelor,2,DE/DA/BA,Large(>1000),3500.0
18-35 years old,Master,2,DS/MLE,Medium(100-999),3977.7799999999997
>35 years old,Master,5,DE/DA/BA,Medium(100-999),4000.0
18-35 years old,Bachelor,6,DE/DA/BA,Small(1-99),200000.0
18-35 years old,Master,Less than 1 year,DS/MLE,Large(>1000),99359.99999999999
18-35 years old,Bachelor,3,DE/DA/BA,Large(>1000),165600.0
18-35 years old,Doctoral(PhD),8,DE/DA/BA,Large(>1000),80240.0
18-35 years old,Bachelor,6,DE/DA/BA,Small(1-99),89700.0
